genome_id	taxa_name	participation_index	taxon_level
JN258408|_sliding:65001-70000	Imitervirales	0.8333333333333334	order
KU168861|_sliding:5001-6000	Picornavirales	1.0	order
JN258408|_sliding:15001-16000	Imitervirales	1.0	order
JN258408|_sliding:834001-835000	Imitervirales	1.0	order
EU304328|_sliding:182001-183000	Algavirales	1.0	order
JN258408|_sliding:300001-305000	Imitervirales	1.0	order
JN258408|_sliding:1005001-1006000	Imitervirales	1.0	order
EU916176	Algavirales	0.9102564102564102	order
J02448|_sliding:5001-6000	Tubulavirales	1.0	order
MT774377|_sliding:75001-76000	Crassvirales	1.0	order
KU168861	Picornavirales	1.0	order
JN258408|_sliding:1030001-1040000	Imitervirales	1.0	order
KC292020|_sliding:38001-39000	Thumleimavirales	1.0	order
JN258408|_sliding:950001-951000	Imitervirales	1.0	order
EU304328|_sliding:90001-100000	Algavirales	1.0	order
JN258408|_sliding:1045001-1046000	Imitervirales	1.0	order
MT078988|_sliding:5001-10000	Pantevenvirales	1.0	order
JN258408|_sliding:720001-725000	Imitervirales	0.8	order
J02448|_sliding:1-5000	Tubulavirales	0.8571428571428571	order
JN258408|_sliding:163001-164000	Imitervirales	1.0	order
AY338217	Algavirales	1.0	order
JN258408|_sliding:211001-212000	Imitervirales	1.0	order
KC292020|_sliding:50001-60000	Thumleimavirales	0.9473684210526315	order
U41758	Petitvirales	1.0	order
JN258408|_sliding:19001-20000	Imitervirales	1.0	order
MT774377|_sliding:71001-72000	Crassvirales	1.0	order
EU916176|_sliding:128001-129000	Algavirales	1.0	order
JN258408|_sliding:100001-101000	Imitervirales	1.0	order
JN258408|_sliding:1032001-1033000	Imitervirales	1.0	order
KC292020|_sliding:50001-55000	Thumleimavirales	0.875	order
JN258408|_sliding:686001-687000	Imitervirales	1.0	order
JN258408|_sliding:970001-971000	Imitervirales	1.0	order
JN258408|_sliding:486001-487000	Imitervirales	1.0	order
JN258408|_sliding:330001-340000	Imitervirales	1.0	order
KY853667	Tubulavirales	0.46153846153846156	order
MT774377	Crassvirales	0.9871794871794872	order
JN258408|_sliding:628001-629000	Imitervirales	1.0	order
MT774377|_sliding:55001-56000	Crassvirales	1.0	order
JN258408|_sliding:880001-885000	Imitervirales	0.875	order
JN258408|_sliding:980001-981000	Imitervirales	1.0	order
KU168861|_sliding:4001-5000	Picornavirales	1.0	order
JN258408|_sliding:1140001-1150000	Imitervirales	1.0	order
OP880253|_sliding:45001-50000	Nakonvirales	1.0	order
JN258408|_sliding:745001-750000	Imitervirales	1.0	order
EU916176|_sliding:40001-45000	Algavirales	1.0	order
MT774377|_sliding:64001-65000	Crassvirales	1.0	order
JN258408|_sliding:480001-485000	Imitervirales	1.0	order
JN258408|_sliding:815001-820000	Imitervirales	1.0	order
J02448	Tubulavirales	0.875	order
EU304328|_sliding:160001-161000	Algavirales	1.0	order
EU304328|_sliding:170001-180000	Algavirales	0.9166666666666666	order
JN258408|_sliding:1100001-1101000	Imitervirales	1.0	order
JN258408|_sliding:910001-915000	Imitervirales	1.0	order
EU304328|_sliding:1-5000	Algavirales	1.0	order
EU916176|_sliding:50001-60000	Algavirales	1.0	order
MT774377|_sliding:1-10000	Crassvirales	0.9411764705882353	order
JN258408|_sliding:140001-150000	Imitervirales	1.0	order
EU304328|_sliding:64001-65000	Algavirales	1.0	order
MT774377|_sliding:80001-90000	Crassvirales	1.0	order
JN258408|_sliding:1186001-1187000	Imitervirales	1.0	order
JN258408|_sliding:1053001-1054000	Imitervirales	1.0	order
EU916176|_sliding:120001-125000	Algavirales	1.0	order
JN258408|_sliding:570001-580000	Imitervirales	1.0	order
JN258408|_sliding:960001-965000	Imitervirales	1.0	order
KC292020|_sliding:24001-25000	Thumleimavirales	1.0	order
FJ904927	Tubulavirales	0.6363636363636364	order
JN258408|_sliding:410001-420000	Imitervirales	1.0	order
JN258408|_sliding:331001-332000	Imitervirales	1.0	order
MF172923	Picornavirales	0.5	order
JN258408|_sliding:837001-838000	Imitervirales	1.0	order
JN258408|_sliding:930001-940000	Imitervirales	1.0	order
OP880253	Nakonvirales	1.0	order
JN258408|_sliding:261001-262000	Imitervirales	1.0	order
JN258408|_sliding:885001-886000	Imitervirales	1.0	order
JN258408|_sliding:1103001-1104000	Imitervirales	1.0	order
